﻿icd_code,cn_title
A1851,"结核性表层硬化炎"
A1852,"结核性角膜炎"
A1853,"结核性脉络膜视网膜炎"
A1854,"结核性虹膜睫状体炎"
A1859,"其他眼结核"
A186,"（内耳）（中耳）结核病"
A187,"肾上腺结核病"
A188,"其他特定器官的结核病"
A1881,"甲状腺结核"
A1882,"其他内分泌腺的结核病"
A1883,"消化道器官结核病，未在其他地方分类"
A1884,"心脏结核"
A1885,"脾脏结核"
A1889,"其他部位的结核病"
A19,"粟粒性肺结核"
A190,"单个指定部位的急性粟粒性结核病"
A191,"多部位急性粟粒性结核病"
A192,"急性粟粒性结核病，未指定"
A198,"其他粟粒性结核病"
A199,"粟粒性结核病，未指定"
A20,"瘟疫"
A200,"黑死病"
A201,"睑皮瘟疫"
A202,"肺鼠疫"
A203,"鼠疫脑膜炎"
A207,"败血性鼠疫"
A208,"其他形式的鼠疫"
A209,"瘟疫，未指明"
A21,"野兔病"
A210,"溃疡腺型土拉菌病"
A211,"眼腺型土拉菌病"
A212,"肺土拉菌病"
A213,"胃肠道土拉菌病"
A217,"全身性土拉菌病"
A218,"其他形式的土拉菌病"
A219,"兔热病，未指定"
A22,"炭疽"
A220,"皮肤炭疽"
A221,"肺炭疽"
A222,"胃肠道炭疽"
A227,"炭疽败血症"
A228,"其他形式的炭疽"
A229,"炭疽，未指定"
A23,"布鲁氏菌病"
A230,"布鲁氏菌病"
A231,"流产布鲁氏菌引起的布鲁氏菌病"
A232,"猪布鲁氏菌引起的布鲁氏菌病"
A233,"犬布鲁氏菌引起的布鲁氏菌病"
A238,"其他布鲁氏菌病"
A239,"布鲁氏菌病，未指定"
A24,"腺体和类鼻疽"
A240,"压盖"
A241,"急性和暴发性类鼻疽"
A242,"亚急性和慢性类鼻疽"
A243,"其他类鼻疽"
A249,"类鼻疽，未指定"
A25,"鼠咬热"
A250,"螺旋体病"
A251,"链杆菌病"
A259,"鼠咬热，未指明"
A26,"类丹毒"
A260,"皮肤丹毒样"
A267,"败血症"
A268,"其他形式的丹毒样"
A269,"丹毒样，未指定"
A27,"钩端螺旋体病"
A270,"钩端螺旋体病黄疸出血"
A278,"其他形式的钩端螺旋体病"
A2781,"钩端螺旋体病的无菌性脑膜炎"
A2789,"其他形式的钩端螺旋体病"
A279,"钩端螺旋体病，未指定"
A28,"其他未分类的人畜共患细菌性疾病"
A280,"巴氏杆菌病"
A281,"猫抓病"
A282,"肠外耶尔森菌病"
A288,"其他未分类的特定人畜共患细菌性疾病"
A289,"人畜共患细菌病，未明确"
A30,"麻风病 [汉森病]"
A300,"不确定的麻风病"
A301,"结核样麻风病"
A302,"交界性结核样麻风病"
A303,"交界性麻风病"
A304,"交界性麻风病"
A305,"麻风病"
A308,"其他形式的麻风病"
A309,"麻风病，未指明"
A31,"其他分枝杆菌引起的感染"
A310,"肺分枝杆菌感染"
A311,"皮肤分枝杆菌感染"
A312,"播散性鸟分枝杆菌-细胞内复合体 （DMAC）"
A318,"其他分枝杆菌感染"
A319,"分枝杆菌感染，未指定"
A32,"李斯特菌病"
A320,"皮肤李斯特菌病"
A321,"李斯特菌性脑膜炎和脑膜脑炎"
A3211,"李斯特菌性脑膜炎"
A3212,"李斯特菌性脑膜脑炎"
A327,"李斯特菌败血症"
A328,"其他形式的李斯特菌病"
A3281,"眼腺型李斯特菌病"
A3282,"李斯特菌性心内膜炎"
A3289,"其他形式的李斯特菌病"
A329,"李斯特菌病，未指定"
A33,"新生儿破伤风"
A34,"产科破伤风"
A35,"其他破伤风"
A36,"白喉"
A360,"咽部白喉"
A361,"鼻咽白喉"
A362,"喉白喉"
A363,"皮肤白喉"
A368,"其他白喉"
A3681,"白喉心肌病"
A3682,"白喉神经根炎"
A3683,"白喉性多发性神经炎"
A3684,"白喉性肾小管间质性肾病"
A3685,"白喉性膀胱炎"
A3686,"白喉性结膜炎"
A3689,"其他白喉并发症"
A369,"白喉，未指定"
A37,"百日咳"
A370,"百日咳博德特氏菌"
A3700,"百日咳博德特氏菌引起的百日咳，无肺炎"
A3701,"百日咳博德特氏菌伴肺炎"
A371,"副百日咳博德特氏菌 引起的百日咳"
A3710,"副百日咳引起的百日咳，不伴肺炎"
A3711,"副百日咳伴肺炎引起的百日咳"
A378,"由其他博德特氏菌属引起的百日咳"
A3780,"由其他博德特氏菌属引起的百日咳，无肺炎"
A3781,"由其他博德特氏菌属肺炎引起的百日咳"
A379,"百日咳，未指定物种"
A3790,"百日咳，未指定种属，无肺炎"
A3791,"百日咳，未指定种类的肺炎"
A38,"猩红热"
A380,"猩红热伴中耳炎"
A381,"猩红热伴心肌炎"
A388,"猩红热伴其他并发症"
A389,"猩红热，无并发症"
A39,"脑膜炎球菌感染"
A390,"脑膜炎球菌性脑膜炎"
A391,"Waterhouse-Friderichsen 综合征"
A392,"急性脑膜炎球菌性菌血症"
A393,"慢性脑膜炎球菌性菌血症"
A394,"脑膜炎球菌性菌血症，未指明"
A395,"脑膜炎球菌性心脏病"
A3950,"脑膜炎球菌性心脏炎，未指定"
A3951,"脑膜炎球菌性心内膜炎"
A3952,"脑膜炎球菌性心肌炎"
A3953,"脑膜炎球菌性心包炎"
A398,"其他脑膜炎球菌感染"
A3981,"脑膜炎球菌性脑炎"
A3982,"脑膜炎球菌性球后神经炎"
A3983,"脑膜炎球菌关节炎"
A3984,"脑膜炎球菌后关节炎"
A3989,"其他脑膜炎球菌感染"
A399,"脑膜炎球菌感染，未指定"
A40,"链球菌败血症"
A400,"链球菌引起的脓毒症，A 组"
A401,"链球菌引起的脓毒症，B 组"
A403,"肺炎链球菌引起的脓毒症"
A408,"其他链球菌脓毒症"
A409,"链球菌败血症，未指定"
A41,"其他脓毒症"
A410,"金黄色葡萄球菌引起的脓毒症"
A4101,"由甲氧西林敏感的 金黄色葡萄球菌 引起的败血症"
A4102,"耐甲氧西林金黄色葡萄球菌引起的脓毒症"
A411,"其他特定葡萄球菌引起的脓毒症"
A412,"未指明的葡萄球菌引起的脓毒症"
A413,"流感嗜血杆菌引起的脓毒症"
A414,"厌氧菌引起的脓毒症"
A415,"其他革兰氏阴性菌引起的脓毒症"
A4150,"革兰阴性脓毒症，未明确"
A4151,"大肠杆菌 [E. coli] 引起的脓毒症"
A4152,"假单胞菌引起的脓毒症"
A4153,"沙雷氏菌引起的脓毒症"
A4159,"其他 革兰氏阴性脓毒症"
A418,"其他特定脓毒症"
A4181,"肠球菌引起的脓毒症"
A4189,"其他特定脓毒症"
A419,"脓毒症，未分明的病原体"
A42,"放线菌病"
A420,"肺放线菌病"
A421,"腹部放线菌病"
A422,"宫颈面放线菌病"
A427,"放线菌性脓毒症"
A428,"其他形式的放线菌病"
A4281,"放线菌性脑膜炎"
A4282,"放线菌性脑炎"
A4289,"其他形式的放线菌病"
A429,"放线菌病，未指定"
A43,"诺卡菌病"
A430,"肺诺卡菌病"
A431,"皮肤诺卡菌病"
A438,"其他形式的诺卡菌病"
A439,"诺卡菌病，未指定"
A44,"巴尔通体病"
A440,"系统性巴尔通体病"
A441,"皮肤和皮肤黏膜巴尔通体病"
A448,"其他形式的巴尔通体病"
A449,"巴尔通体病，未指定"
A46,"丹毒"
A48,"其他未分类的细菌性疾病"
A480,"气性坏疽"
A481,"军团病"
A482,"非肺炎军团病 [庞蒂亚克热]"
A483,"中毒性休克综合征"
A484,"巴西紫癜热"
A485,"其他特定肉毒杆菌中毒"
A4851,"婴儿肉毒中毒"
A4852,"伤口肉毒中毒"
A488,"其他特定细菌性疾病"
A49,"不明部位的细菌感染"
A490,"葡萄球菌感染，部位不明"
A4901,"甲氧西林敏感 金黄色葡萄球菌感染，部位未指定"
A4902,"耐甲氧西林金黄色葡萄球菌感染，部位不明"
A491,"链球菌感染，部位不明"
A492,"流感嗜血杆菌感染，部位不明"
A493,"支原体感染，部位不明"
A498,"其他未指定部位的细菌感染"
A499,"细菌感染，未指定"
A50,"先天性梅毒"
A500,"早期先天性梅毒，有症状"
A5001,"早期先天性梅毒性眼病"
A5002,"早期先天性梅毒性骨软骨病"
A5003,"早期先天性梅毒性咽炎"
A5004,"早期先天性梅毒肺炎"
A5005,"早期先天性梅毒性鼻炎"
A5006,"早期皮肤先天性梅毒"
A5007,"早期皮肤黏膜先天性梅毒"
A5008,"早期内脏先天性梅毒"
A5009,"其他早期先天性梅毒，有症状"
A501,"早期先天性梅毒，潜伏性"
A502,"早期先天性梅毒，未明确"
A503,"晚期先天性梅毒眼病"
A5030,"晚期先天性梅毒性眼球病，未明确"
A5031,"晚期先天性梅毒间质性角膜炎"
A5032,"晚期先天性梅毒脉络膜视网膜炎"
A5039,"其他晚期先天性梅毒性眼球病"
A504,"晚期先天性神经梅毒 [juvenile neurosyphilis]"
A5040,"晚期先天性神经梅毒，未指定"
A5041,"晚期先天性梅毒性脑膜炎"
A5042,"晚期先天性梅毒性脑炎"
A5043,"晚期先天性梅毒性多发性神经病"
A5044,"晚期先天性梅毒性视神经萎缩"
A5045,"青少年全身麻痹"
A5049,"其他晚期先天性神经梅毒"
A505,"其他晚期先天性梅毒，有症状"
A5051,"Clutton 关节"
A5052,"Hutchinson 的牙齿"
A5053,"Hutchinson 三联征"
A5054,"晚期先天性心血管梅毒"
A5055,"晚期先天性梅毒性关节病"
A5056,"晚期先天性梅毒性骨软骨病"
A5057,"梅毒鞍鼻"
A5059,"其他晚期先天性梅毒，有症状"
A506,"晚期先天性梅毒，潜伏性"
A507,"晚期先天性梅毒，未指定"
A509,"先天性梅毒，未指定"
A51,"早期梅毒"
A510,"一期生殖器梅毒"
A511,"一期肛门梅毒"
A512,"其他部位的一期梅毒"
A513,"皮肤和粘膜的二期梅毒"
A5131,"阔阔湿疣"
A5132,"梅毒性脱发"
A5139,"其他皮肤二期梅毒"
A514,"其他二期梅毒"
A5141,"继发性梅毒性脑膜炎"
A5142,"二期梅毒女性盆腔病"
A5143,"继发性梅毒性眼病"
A5144,"继发性梅毒性肾炎"
A5145,"继发性梅毒性肝炎"
A5146,"二期梅毒性整骨病"
A5149,"其他二期梅毒"
A515,"早期梅毒，潜伏性"
A519,"早期梅毒，未分类"
A52,"晚期梅毒"
A520,"心脑血管梅毒"
A5200,"心血管梅毒，未指定"
A5201,"主动脉梅毒性动脉瘤"
A5202,"梅毒性主动脉炎"
A5203,"梅毒性心内膜炎"
A5204,"梅毒性脑动脉炎"
A5205,"其他 脑血管梅毒"
A5206,"其他梅毒性心脏受累"
A5209,"其他心血管梅毒"
A521,"症状性神经梅毒"
A5210,"症状性神经梅毒，未指定"
A5211,"Tabes dorsalis"
A5212,"其他脑脊髓梅毒"
A5213,"晚期梅毒性脑膜炎"
A5214,"晚期梅毒性脑炎"
A5215,"晚期梅毒性神经病"
A5216,"Charcot 关节病（tabetic）"
A5217,"全身麻痹"
A5219,"其他症状性神经梅毒"
A522,"无症状神经梅毒"
A523,"神经梅毒，未指定"
A527,"其他有症状的晚期梅毒"
A5271,"晚期梅毒性眼病"
A5272,"肺梅毒和支气管梅毒"
A5273,"其他呼吸器官的症状性晚期梅毒"
A5274,"肝脏和其他内脏梅毒"
A5275,"肾脏和输尿管梅毒"
A5276,"其他 有泌尿生殖系统症状的晚期梅毒"
A5277,"骨和关节梅毒"
A5278,"其他肌肉骨骼组织的梅毒"
A5279,"其他有症状的晚期梅毒"
A528,"晚期梅毒，潜伏性"
A529,"晚期梅毒，未指明"
A53,"其他和未指明的梅毒"
A530,"潜伏梅毒，未明确为早期或晚期"
A539,"梅毒，未指定"
A54,"淋球菌感染"
A540,"无尿道周围或副腺脓肿的下泌尿生殖尿路淋球菌感染"
A5400,"下泌尿生殖道淋球菌感染，未明确"
A5401,"淋球菌性膀胱炎和尿道炎，未指定"
A5402,"淋球菌性外阴阴道炎，未指定"
A5403,"淋球菌性宫颈炎，未指定"
A5409,"其他下泌尿生殖道淋球菌感染"
A541,"下泌尿生殖道淋球菌感染伴尿道周围和副腺脓肿"
A542,"淋球菌性盆腹膜炎和其他淋球菌性泌尿生殖系统感染"
A5421,"肾脏和输尿管淋球菌感染"
A5422,"淋球菌性前列腺炎"
A5423,"其他男性生殖器官的淋球菌感染"
A5424,"淋球菌性女性盆腔炎"
A5429,"其他淋球菌性泌尿生殖系统感染"
A543,"眼部淋球菌感染"
A5430,"眼部淋球菌感染，未明确"
A5431,"淋球菌性结膜炎"
A5432,"淋球菌性虹膜睫状体炎"
A5433,"淋球菌性角膜炎"
A5439,"其他淋球菌性眼感染"
A544,"肌肉骨骼系统淋球菌感染"
A5440,"肌肉骨骼系统淋球菌感染，未指定"
A5441,"淋球菌性脊柱病"
A5442,"淋球菌性关节炎"
A5443,"淋球菌性骨髓炎"
A5449,"其他肌肉骨骼组织的淋球菌感染"
A545,"淋球菌性咽炎"
A546,"肛门和直肠淋球菌感染"
A548,"其他淋球菌感染"
A5481,"淋球菌性脑膜炎"
A5482,"淋球菌性脑脓肿"
A5483,"淋球菌性心脏病感染"
A5484,"淋球菌性肺炎"
A5485,"淋球菌性腹膜炎"
A5486,"淋球菌败血症"
A5489,"其他淋球菌感染"
A549,"淋球菌感染，未指定"
A55,"衣原体淋巴肉芽肿（性病）"
A56,"其他性传播衣原体疾病"
A560,"下泌尿生殖道衣原体感染"
A5600,"下泌尿生殖道衣原体感染，未指定"
A5601,"衣原体膀胱炎和尿道炎"
A5602,"衣原体性外阴阴道炎"
A5609,"其他下泌尿生殖道衣原体感染"
A561,"盆腔腹膜和其他泌尿生殖器官的衣原体感染"
A5611,"衣原体女性盆腔炎"
A5619,"其他衣原体泌尿生殖系统感染"
A562,"泌尿生殖道衣原体感染，未指定"
A563,"肛门和直肠衣原体感染"
A564,"咽部衣原体感染"
A568,"其他部位的性传播衣原体感染"
A57,"软下疳"
A58,"腹股沟肉芽肿"
A59,"滴虫 病"
A590,"泌尿生殖系统滴虫病"
A5900,"泌尿生殖系统滴虫病，未指定"
A5901,"毛滴虫性外阴阴道炎"
A5902,"毛滴虫性前列腺炎"
A5903,"毛滴虫性膀胱炎和尿道炎"
A5909,"其他泌尿生殖系统滴虫病"
A598,"其他部位的滴虫病"
A599,"滴虫病，未指定"
A60,"肛门生殖器疱疹病毒 [单纯疱疹] 感染"
A600,"生殖器和泌尿生殖道疱疹病毒感染"
A6000,"泌尿生殖系统疱疹病毒感染，未明确"
A6001,"阴茎疱疹病毒感染"
A6002,"其他男性生殖器官的疱疹病毒感染"
A6003,"疱疹病毒性宫颈炎"
A6004,"疱疹病毒性外阴阴道炎"
A6009,"其他泌尿生殖道疱疹病毒感染"
A601,"肛周皮肤和直肠的疱疹病毒感染"
A609,"肛门生殖器疱疹病毒感染，未明确"
A63,"其他主要由性传播的疾病，未在其他地方分类"
A630,"肛门生殖器（性）疣"
A638,"其他特定的主要性传播疾病"
A64,"未指明的性传播疾病"
A65,"非性梅毒"
A66,"雅司病"
A660,"雅司病的初始病变"
A661,"多发状瘤和湿蟹油司病"
A662,"雅司病的其他早期皮肤病变"
A663,"雅司病角化过度"
A664,"雅司病的胶质瘤和溃疡"
A665,"甘戈萨"
A666,"雅司病的骨骼和关节病变"
A667,"雅司病的其他表现"
A668,"潜伏雅司病"
A669,"偏航，未指定"
A67,"Pinta [空手岛]"
A670,"Pinta 的原发性病变"
A671,"Pinta 的中间病变"
A672,"pinta 晚期病变"
A673,"pinta 的混合病变"
A679,"Pinta，未指定"
A68,"回归热"
A680,"虱传回归热"
A681,"蜱传回归热"
A689,"回归热，未指定"
A69,"其他螺旋体感染"
A690,"坏死性溃疡性口炎"
A691,"其他 Vincent 感染"
A692,"莱姆病"
A6920,"莱姆病，未指定"
A6921,"莱姆病引起的脑膜炎"
A6922,"莱姆病的其他神经系统疾病"
A6923,"莱姆病引起的关节炎"
A6929,"与莱姆病相关的其他疾病"
A698,"其他特定的螺旋体感染"
A699,"螺旋体感染，未指定"
A70,"鹦鹉热衣原体感染"
A71,"沙眼"
A710,"沙眼的初始阶段"
A711,"沙眼的活动期"
A719,"沙眼，未指定"
A74,"衣原体引起的其他疾病"
A740,"衣原体结膜炎"
A748,"其他衣原体病"
A7481,"衣原体腹膜炎"
A7489,"其他衣原体病"
A749,"衣原体感染，未指定"
A75,"斑疹伤寒"
A750,"普氏立克次体引起的流行性虱传斑疹伤寒"
A751,"复发性斑疹伤寒 [Brill 病]"
A752,"伤寒立克次体引起的斑疹伤寒"
A753,"Rickettsia tsutsugamushi 引起的斑疹伤寒"
A759,"斑疹伤寒，未指明"
A77,"斑疹热 [蜱传立克次体]"
A770,"立克次体引起的斑疹热"
A771,"康氏立克次体引起的斑疹热"
A772,"西伯利亚立克次体引起的斑疹热"
A773,"南方立克次体引起的斑疹热"
A774,"埃立克体病"
A7740,"埃立克体病，未指定"
A7741,"查菲埃立克体病 [E. chafeensis]"
A7749,"其他埃立克体病"
A778,"其他斑疹热"
A779,"斑疹热，未指明"
A78,"Q热"
A79,"其他立克次体"
A790,"战壕热"
A791,"立克次体引起的立克次体 akari"
A798,"其他特定的立克次体"
A7981,"塞氏埃立克体引起的立克次体病"
A7982,"无形体病 [A. phagocytophilum]"
A7989,"其他特定的立克次体"
A799,"立克次体病，未指定"
A80,"急性脊髓灰质炎"
A800,"急性麻痹性脊髓灰质炎，疫苗相关"
A801,"急性麻痹性脊髓灰质炎，野生病毒，输入性"
A802,"急性麻痹性脊髓灰质炎，野生病毒，本地"
A803,"急性麻痹性脊髓灰质炎，其他和未指定"
A8030,"急性麻痹性脊髓灰质炎，未指定"
A8039,"其他急性麻痹性脊髓灰质炎"
A804,"急性非麻痹性脊髓灰质炎"
A809,"急性脊髓灰质炎，未指定"
A81,"中枢神经系统的非典型病毒感染"
A810,"克雅氏病"
A8100,"克雅氏病，未明确"
A8101,"变异型克雅氏病"
A8109,"其他 克雅氏病"
A811,"亚急性硬化性全脑炎"
A812,"进行性多灶性白质脑病"
A818,"中枢神经系统的其他非典型病毒感染"
A8181,"库鲁病"
A8182,"Gerstmann-Straussler-Scheinker 综合征"
A8183,"致命的家族性失眠"
A8189,"中枢神经系统的其他非典型病毒感染"
A819,"中枢神经系统非典型病毒感染，未指定"
A82,"狂犬病"
A820,"丛林狂犬病"
A821,"城市狂犬病"
A829,"狂犬病，未指定"
A83,"蚊媒病毒性脑炎"
A830,"日本脑炎"
A831,"西部马脑炎"
A832,"东方马脑炎"
A833,"圣路易斯脑炎"
A834,"澳大利亚脑炎"
A835,"加利福尼亚脑炎"
A836,"罗西奥病毒病"
A838,"其他蚊媒病毒性脑炎"
A839,"蚊媒病毒性脑炎，未明确"
A84,"蜱传病毒性脑炎"
A840,"远东蜱传脑炎 [俄罗斯春夏脑炎]"
A841,"中欧蜱传脑炎"
A848,"其他蜱传病毒性脑炎"
A8481,"Powassan 病毒病"
A8489,"其他蜱传病毒性脑炎"
A849,"蜱传病毒性脑炎，未指定"
A85,"其他未分类的病毒性脑炎"
A850,"肠道病毒性脑炎"
A851,"腺病毒性脑炎"
A852,"节肢动物传播的病毒性脑炎，未指定"
A858,"其他特定的病毒性脑炎"
A86,"未分类的病毒性脑炎"
A87,"病毒性脑膜炎"
A870,"肠道病毒性脑膜炎"
A871,"腺病毒性脑膜炎"
A872,"淋巴细胞性脉络丛脑膜炎"
A878,"其他病毒性脑膜炎"
A879,"病毒性脑膜炎，未指定"
A88,"其他中枢神经系统病毒感染，未分类"
A880,"肠道病毒发疹性热 [Boston exanthem]"
A881,"流行性眩晕"
A888,"其他特定的中枢神经系统病毒感染"
A89,"中枢神经系统的未指定病毒感染"
A90,"登革热 [经典登革热]"
A91,"登革出血热"
A92,"其他蚊媒病毒性发热"
A920,"基孔肯雅热病毒病"
A921,"O'nyong-nyong 热"
A922,"委内瑞拉马热"
A923,"西尼罗河病毒感染"
A9230,"西尼罗河病毒感染，未指明"
A9231,"西尼罗河病毒感染伴脑炎"
A9232,"西尼罗河病毒感染伴有其他神经系统表现"
A9239,"西尼罗河病毒感染伴其他并发症"
A924,"裂谷热"
A925,"寨卡病毒病"
A928,"其他特定的蚊媒病毒性发热"
A929,"蚊媒病毒热，未明确"
A93,"其他节肢动物传播的病毒性发热，未在其他地方分类"
A930,"Oropouche 病毒病"
A931,"白蛉热"
A932,"科罗拉多蜱热"
A938,"其他特定的节肢动物传播病毒性发热"
A94,"未指定的节肢动物传播病毒性热"
A95,"黄热病"
A950,"森林型黄热病"
A951,"城市黄热病"
A959,"黄热病，未指明"
A96,"沙粒病毒出血热"
A960,"胡宁出血热"
A961,"马丘波出血热"
A962,"拉沙热"
A968,"其他沙粒病毒性出血热"
A969,"沙粒病毒出血热，未指定"
A98,"其他未分类的病毒性出血热"
A980,"克里米亚-刚果出血热"
A981,"鄂木斯克出血热"
A982,"Kyasanur 森林病"
A983,"马尔堡病毒病"
A984,"埃博拉病毒病"
A985,"出血热伴肾综合征"
A988,"其他特定的病毒性出血热"
A99,"未分类的病毒性出血热"
B00,"疱疹病毒 [单纯疱疹] 感染"
B000,"疱疹"
B001,"疱疹病毒性水疱性皮炎"
B002,"疱疹病毒性龈口炎和咽扁桃体炎"
B003,"疱疹病毒性脑膜炎"
B004,"疱疹病毒性脑炎"
B005,"疱疹病毒性眼部疾病"
B0050,"疱疹病毒性眼部疾病，未指定"
B0051,"疱疹病毒性虹膜睫状体炎"
B0052,"疱疹病毒性角膜炎"
B0053,"疱疹病毒性结膜炎"
B0059,"其他眼疱疹病毒性疾病"
B007,"播散性疱疹病毒病"
B008,"其他形式的疱疹病毒感染"
B0081,"疱疹病毒性肝炎"
B0082,"单纯疱疹性脊髓炎"
B0089,"其他疱疹病毒感染"
B009,"疱疹病毒感染，未指定"
B01,"水痘 [水痘]"
B010,"水痘脑膜炎"
B011,"水痘脑炎、脊髓炎和脑脊髓炎"
B0111,"水痘脑炎和脑脊髓炎"
B0112,"水痘脊髓炎"
B012,"水痘肺炎"
B018,"水痘伴有其他并发症"
B0181,"水痘 角膜炎"
B0189,"其他水痘并发症"
B019,"无并发症的水痘"
B02,"带状疱疹 [herpes zoster]"
B020,"带状疱疹脑炎"
B021,"带状疱疹脑膜炎"
B022,"带状疱疹伴有其他神经系统受累"
B0221,"带状疱疹后膝状神经节炎"
B0222,"带状疱疹后三叉神经痛"
B0223,"带状疱疹后多发性神经病"
B0224,"带状疱疹后脊髓炎"
B0229,"其他带状疱疹后神经系统受累"
B023,"带状疱疹眼病"
B0230,"带状疱疹眼病，未指定"
B0231,"带状疱疹结膜炎"
B0232,"带状疱疹虹膜睫状体炎"
B0233,"带状疱疹性角膜炎"
B0234,"带状疱疹巩膜炎"
B0239,"其他带状疱疹眼病"
B027,"播散性带状疱疹"
B028,"带状疱疹伴有其他并发症"
B029,"无并发症的带状疱疹"
B03,"天花"
B04,"猴痘"
B05,"麻疹"
B050,"麻疹并发脑炎"
B051,"麻疹并发脑膜炎"
B052,"麻疹并发肺炎"
